"Month","FOP","TP","NOx","NHx","TN","TSS","FecalColiform","TC","O Saturation","OConcentration","Sp.Conductivity","Elec.Conductivity","TDS","Salinity","pH","MonthNumber"
"Jan",8.53333333333333,94.8666666666667,203.666666666667,115,904.666666666667,14.6666666666667,36.6666666666667,10.5,67.6,7.53,282,203.9,183.3,0.14,6.35,1
"Feb",18.7,126.633333333333,273,62.6666666666667,629.666666666667,18.6666666666667,330,9,104.9,12.12,105,73,68,0.05,7.16,2
"Mar",8,86.5,258,105.666666666667,919.666666666667,18.6666666666667,3.33333333333333,12.2,71.6,7.67,177,167,111,0.04,5.84,3
"Apr",7.1,163,79,253,1831,24.6666666666667,46.6666666666667,18.4,39.4,3.7,153,133,99,0.07,7.66,4
"May",11.6,357.566666666667,212.333333333333,534,4159,51,111.666666666667,25.4,45.1,3.7,172,174,177,0.13,7.51,5
"Jun",9.7,212.933333333333,203.666666666667,547,2252.33333333333,36,90,26.1,17,3.72,294,300,192,0.14,6.3,6
"Jul",6.7,172.933333333333,38,20,710.333333333333,14,185,28,43.8,3.43,111.4,117.9,72.15,0.05,7.36,7
"Aug",1.6,231.266666666667,8,2.33333333333333,1342.66666666667,45,301.666666666667,27.7,134.8,10.6,112.6,118.5,73.45,0.05,7.06,8
"Sep",12.6,354.833333333333,14,90,1162,39.3333333333333,531.666666666667,26.1,54.5,4.41,169.2,172.8,109.85,0.08,6.98,9
"Oct",9.7,142.033333333333,171.333333333333,106,1109,25.3333333333333,0,20.9,164,14.62,237,209,148,0.11,7.26,10
"Nov",10.7,149.266666666667,196.666666666667,92.6666666666667,1079.66666666667,22,90,14.4,52.4,5.35,163.9,130.8,106.6,0.08,6.75,11
"Dec",20.5,133.933333333333,235,2.33333333333333,840,16.3333333333333,81.6666666666667,9.1,129.2,14.88,138.8,96.8,90.35,0.07,7.01,12
