"Month","FOP","TP","NOx","NHx","TN","TSS","Fecal Coliform","TC","O Saturation","O Concentration","Sp. Conductivity","Elec. Conductivity","TDS","Salinity","pH","Month #"
"Jan",12.1,77.7666666666667,290,156.333333333333,1133.33333333333,8.66666666666667,135,11.4,26.1,2.85,272.6,201.8,177.45,0.13,6.28,1
"Feb",12.5,79.8666666666667,280,41,622.333333333333,18.3333333333333,66.6666666666667,9.6,100.1,11.49,163,115,107,0.03,6.84,2
"Mar",4,50.1666666666667,287.333333333333,61.3333333333333,928,10.3333333333333,3.33333333333333,11.2,124.1,13.62,291,200,187,0.03,5.9,3
"Apr",27.5,111.5,11.3333333333333,177.666666666667,1524.33333333333,8,21.6666666666667,18,13.9,1.32,216,187,140,0.1,7.41,4
"May",1.2,102.8,86.3333333333333,72.3333333333333,2024.33333333333,15.6666666666667,146.666666666667,22.5,26.2,2.26,333,317,216,0.16,7.26,5
"Jun",5.7,101.2,76.3333333333333,212,1689,10.3333333333333,110,24.4,34.3,2.86,265,261,172,0.12,6.4,6
"Jul",7,88.5,280,11.6666666666667,769.333333333333,11,103.333333333333,27.3,41.2,3.26,62.9,65.7,40.95,0.03,7.29,7
"Aug",0.2,94.7,8,4.66666666666667,1098.66666666667,19,55,26.2,144.5,11.67,92,94.1,59.8,0.04,7.14,8
"Sep",0.2,78.6666666666667,167.666666666667,20,844.333333333333,4.33333333333333,1.66666666666667,25.5,101.2,8.28,204.9,207,133.25,0.1,6.93,9
"Oct",58.5666666666667,138.833333333333,262.666666666667,86.3333333333333,1233.33333333333,8,0,21.3,153,13.58,230,214,149,0.11,6.86,10
"Nov",55.6666666666667,169.833333333333,107,54.3333333333333,640.333333333333,8.33333333333333,6.66666666666667,15.7,4.1,0.4,157.1,129.1,102.05,0.07,6.45,11
"Dec",37,126.333333333333,354,9,900,15.3333333333333,76.6666666666667,10.8,98.9,10.97,135.9,98.9,88.4,0.06,6.97,12
