"X2019","ID","Date","Testing.Type","Location","Reps","FOP..µg.L.","TP..µg.L.","NOx..µg.L.","NHx..µg.L.","TN..µg.L.","TSS..mg.L.","Fecal.Coliform"
"January","DG",2019-01-09,"SW","South Pool",1,45.1,120,335,105,926,1,10
"","DG",2019-01-09,"SW","South Pool",2,48.2,123.4,375,108,993,0,5
"","DG",2019-01-09,"SW","South Pool",3,48.5,122,378,106,919,1,0
"","DG",2019-01-09,"SW","Duck Pond",1,8,95.9,193,115,917,14,60
"","DG",2019-01-09,"SW","Duck Pond",2,9.9,90.9,213,116,896,17,35
"","DG",2019-01-09,"SW","Duck Pond",3,7.7,97.8,205,114,901,13,15
"","DG",2019-01-09,"SW","Upper Pond",1,11.5,79.8,283,153,1065,9,140
"","DG",2019-01-09,"SW","Upper Pond",2,12.7,78.6,299,159,1030,8,160
"","DG",2019-01-09,"SW","Upper Pond",3,12.1,74.9,288,157,1305,9,105
"February","DG",2019-02-25,"SW","South Pool",1,19.1,105.4,420,78,606,15,195
"","DG",2019-02-25,"SW","South Pool",2,20.1,100.7,414,55,599,22,185
"","DG",2019-02-25,"SW","South Pool",3,20.4,97.5,394,54,633,14,200
"","DG",2019-02-25,"SW","Duck Pond",1,19.1,139.8,273,62,600,14,340
"","DG",2019-02-25,"SW","Duck Pond",2,18.5,121.6,247,62,697,28,305
"","DG",2019-02-25,"SW","Duck Pond",3,18.5,118.5,299,64,592,14,345
"","DG",2019-02-25,"SW","Upper Pond",1,12.8,78.6,427,51,591,14,75
"","DG",2019-02-25,"SW","Upper Pond",2,12.2,81.3,229,38,625,29,90
"","DG",2019-02-25,"SW","Upper Pond",3,12.5,79.7,184,34,651,12,35
"March","DG",2019-03-11,"SW","South Pool",1,NA,NA,NA,NA,NA,NA,NA
"","DG",2019-03-11,"SW","South Pool",2,NA,NA,NA,NA,NA,NA,NA
"","DG",2019-03-11,"SW","South Pool",3,NA,NA,NA,NA,NA,NA,NA
"","DG",2019-03-11,"SW","Duck Pond",1,8.4,93.9,225,97,893,19,5
"","DG",2019-03-11,"SW","Duck Pond",2,7.5,84.9,260,104,945,18,5
"","DG",2019-03-11,"SW","Duck Pond",3,8.1,80.7,289,116,921,19,0
"","DG",2019-03-11,"SW","Upper Pond",1,3.9,44.9,336,76,967,13,10
"","DG",2019-03-11,"SW","Upper Pond",2,3.9,52.8,300,64,910,10,0
"","DG",2019-03-11,"SW","Upper Pond",3,4.2,52.8,226,44,907,8,0
"April","DG",2019-04-23,"SW","South Pool",1,37.3,147.5,313,213,1582,6,15
"","DG",2019-04-23,"SW","South Pool",2,41.3,154,325,194,2028,7,45
"","DG",2019-04-23,"SW","South Pool",3,41,173.8,315,189,1687,3,15
"","DG",2019-04-23,"SW","Duck Pond",1,7.1,183.8,81,253,1902,24,60
"","DG",2019-04-23,"SW","Duck Pond",2,7.1,149.4,75,256,1836,27,45
"","DG",2019-04-23,"SW","Duck Pond",3,7.1,155.8,81,250,1755,23,35
"","DG",2019-04-23,"SW","Upper Pond",1,27.3,109.4,11,170,1342,8,25
"","DG",2019-04-23,"SW","Upper Pond",2,27.6,123.7,2,182,1394,10,30
"","DG",2019-04-23,"SW","Upper Pond",3,27.6,101.4,21,181,1837,6,10
"May ","DG",2019-05-22,"SW","South Pool",1,77,296.8,521,238,3284,14,0
"","DG",2019-05-22,"SW","South Pool",2,80,364.8,528,237,3259,14,80
