Date,FOP,TP,NOx,NHx,TN,TSS,FecalColiform,TC,OSaturation,OConcentration,Sp.Conductivity,Elec.Conductivity,TDS,Salinity,pH,MonthNumber
1/1/19,47.26666667,121.8,362.6666667,106.3333333,946,0.666666667,5,10.5,87.6,9.7,341.4,246.7,221.65,0.16,6.38,1
2/1/19,19.86666667,101.2,409.3333333,62.33333333,612.6666667,17,193.3333333,10.6,132.2,14.73,163,117,106,0.08,7.29,2
4/1/19,39.86666667,158.4333333,317.6666667,198.6666667,1765.666667,5.333333333,25,15.9,44.6,4.31,278,236,181,0.13,7.88,4
5/1/19,79.4,347.5333333,524.6666667,236.3333333,3328.666667,14.33333333,60,22.9,31.8,2.73,305,293,198,0.14,7.83,5
6/1/19,58,200.1,371.6666667,107,1544.666667,10,136.6666667,24.3,29.2,2.44,311,306,202,0.16,6.9,6
7/1/19,39.03333333,171,203,83.66666667,786,11.66666667,153.3333333,27.1,62.6,4.98,152,158.1,98.8,0.07,7.64,7
8/1/19,21.56666667,116.5666667,295.3333333,55.33333333,1049.666667,8,3.333333333,25.8,107.2,8.72,211.2,214.6,137.15,0.1,7.14,8
9/1/19,18.4,121.9333333,235,28,881,8.333333333,26.66666667,24.6,83.8,6.98,225.6,223.8,146.9,0.11,7.18,9
10/1/19,14.2,128.4333333,249,93,1188.666667,20,0,20.4,148.7,13.4,233,213,151,0.11,7.42,10
11/1/19,27.23333333,102.1666667,324.6666667,34.66666667,786.6666667,4.666666667,5,14.2,64.2,6.58,279.8,222,182,0.13,7.44,11
12/1/19,21.5,88.33333333,304,21,919.6666667,7,35,9.4,146.9,16.83,216.1,151.6,140.4,0.1,7.18,12
