,,Date ,End Time (hh:mm),T (°C),Oxygen Saturation (%),Oxygen Concentration (mg/L),Specific Conductivity (uS/cm),Electrical Conductivity (uS/cm),Dissolved Solid TDS (mg/L),Salinity    (‰),pH
January,South Pool,20190109,10:08,10.5,87.6,9.7,341.4,246.7,221.65,0.16,6.38
,Duck Pond,20190109,10:14,10.5,67.6,7.53,282,203.9,183.3,0.14,6.35
,Upper Pond,20190109,10:20,11.4,26.1,2.85,272.6,201.8,177.45,0.13,6.28
February,South Pool,20190225,6:43,10.6,132.2,14.73,163,117,106,0.08,7.29
,Duck Pond,20190225,8:09,9,104.9,12.12,105,73,68,0.05,7.16
,Upper Pond,20190225,10:04,9.6,100.1,11.49,163,115,107,0.03,6.84
March,South Pool,20190311,,,,,,,,,
,Duck Pond,20190311,11:16,12.2,71.6,7.67,177,167,111,0.04,5.84
,Upper Pond,20190311,13:12,11.2,124.1,13.62,291,200,187,0.03,5.9
April,South Pool,20190423,10:12,15.9,44.6,4.31,278,236,181,0.13,7.88
,Duck Pond,20190423,10:19,18.4,39.4,3.7,153,133,99,0.07,7.66
,Upper Pond,20190423,10:27,18,13.9,1.32,216,187,140,0.1,7.41
May ,South Pool,20190522,9:28,22.9,31.8,2.73,305,293,198,0.14,7.83
,Duck Pond,20190522,9:35,25.4,45.1,3.7,172,174,177,0.13,7.51
,Upper Pond,20190522,9:43,22.5,26.2,2.26,333,317,216,0.16,7.26
June,South Pool,20190603,9:36,24.3,29.2,2.44,311,306,202,0.16,6.9
,Duck Pond,20190603,9:43,26.1,17,3.72,294,300,192,0.14,6.3
,Upper Pond,20190603,9:52,24.4,34.3,2.86,265,261,172,0.12,6.4
July,South Pool,20190709,10:03,27.1,62.6,4.98,152,158.1,98.8,0.07,7.64
,Duck Pond,20190709,10:09,28,43.8,3.43,111.4,117.9,72.15,0.05,7.36
,Upper Pond,20190709,10:15,27.3,41.2,3.26,62.9,65.7,40.95,0.03,7.29
August,South Pool,20190812,8:57,25.8,107.2,8.72,211.2,214.6,137.15,0.1,7.14
,Duck Pond,20190812,9:03,27.7,134.8,10.6,112.6,118.5,73.45,0.05,7.06
,Upper Pond,20190812,9:09,26.2,144.5,11.67,92,94.1,59.8,0.04,7.14
September,South Pool,20190916,10:19,24.6,83.8,6.98,225.6,223.8,146.9,0.11,7.18
,Duck Pond,20190916,10:28,26.1,54.5,4.41,169.2,172.8,109.85,0.08,6.98
,Upper Pond,20190916,10:35,25.5,101.2,8.28,204.9,207,133.25,0.1,6.93
October,South Pool,20191014,13:21,20.4,148.7,13.4,233,213,151,0.11,7.42
,Duck Pond,20191014,13:29,20.9,164,14.62,237,209,148,0.11,7.26
,Upper Pond,20191014,13:37,21.3,153,13.58,230,214,149,0.11,6.86
November,South Pool,20191106,10:39,14.2,64.2,6.58,279.8,222,182,0.13,7.44
,Duck Pond,20191106,10:48,14.4,52.4,5.35,163.9,130.8,106.6,0.08,6.75
,Upper Pond,20191106,10:56,15.7,4.1,0.4,157.1,129.1,102.05,0.07,6.45
December,South Pool,20191203,11:41,9.4,146.9,16.83,216.1,151.6,140.4,0.1,7.18
,Duck Pond,20191203,11:47,9.1,129.2,14.88,138.8,96.8,90.35,0.07,7.01
,Upper Pond,20191203,11:54,10.8,98.9,10.97,135.9,98.9,88.4,0.06,6.97
