Month,Rep,FOP (µg/L),TP (µg/L),NOx (µg/L),NHx (µg/L),TN (µg/L),TSS (mg/L),Fecal Coliform,T (°C),Oxygen Saturation (%),Oxygen Concentration (mg/L),Specific Conductivity (uS/cm),Electrical Conductivity (uS/cm),Dissolved Solid TDS (mg/L),Salinity (%),pH,
Jan,Rep1,8.0,95.9,193,115,917,14,60,10.5,67.6,7.53,282,203.9,183.3,0.14,6.35,
Jan,Rep2,9.9,90.9,213,116,896,17,35,,,,,,,,,
Jan,Rep3,7.7,97.8,205,114,901,13,15,,,,,,,,,
Feb,Rep1,19.1,139.8,273,62,600,14,340,9,104.9,12.12,105,73,68,0.05,7.16,
Feb,Rep2,18.5,121.6,247,62,697,28,305,,,,,,,,,
Feb,Rep3,18.5,118.5,299,64,592,14,345,,,,,,,,,
March,Rep1,8.4,93.9,225,97,893,19,5,12.2,71.6,7.67,177,167,111,0.04,5.84,
March,Rep2,7.5,84.9,260,104,945,18,5,,,,,,,,,
March,Rep3,8.1,80.7,289,116,921,19,0,,,,,,,,,
April,Rep1,7.1,183.8,81,253,1902,24,60,18.4,39.4,3.7,153,133,99,0.07,7.66,
April,Rep2,7.1,149.4,75,256,1836,27,45,,,,,,,,,
April,Rep3,7.1,155.8,81,250,1755,23,35,,,,,,,,,
May,Rep1,11.3,343.7,171,519,4145,50,90,25.4,45.1,3.7,172,174,177,0.13,7.51,
May,Rep2,11.9,368.7,285,545,4106,49,135,,,,,,,,,
May,Rep3,11.6,360.3,181,538,4226,54,110,,,,,,,,,
June,Rep1,9.5,204.9,205,534,2272,33,100,26.1,17,3.72,294,300,192,0.14,6.3,
June,Rep2,9.8,223.1,209,559,2259,33,75,,,,,,,,,
June,Rep3,9.8,210.8,197,548,2226,42,95,,,,,,,,,
July,Rep1,6.4,162.7,39,18,692,12,175,28,43.8,3.43,111.4,117.9,72.15,0.05,7.36,
July,Rep2,6.7,203.4,34,17,782,15,185,,,,,,,,,
July,Rep3,7.0,152.7,41,25,657,15,195,,,,,,,,,
Aug,Rep1,1.5,217.0,8,1,1366,42,535,27.7,134.8,10.6,112.6,118.5,73.45,0.05,7.06,
Aug,Rep2,1.8,230.5,8,4,1342,49,370,,,,,,,,,
Aug,Rep3,1.5,246.3,8,2,1320,44,0,,,,,,,,,
Sept,Rep1,11.9,360.0,14,92,1168,38,750,26.1,54.5,4.41,169.2,172.8,109.85,0.08,6.98,
Sept,Rep2,12.8,360.0,14,91,1166,40,830,,,,,,,,,
Sept,Rep3,13.1,344.5,14,87,1152,40,15,,,,,,,,,
Oct,Rep1,9.4,141.5,169,112,1116,29,0,20.9,164,14.62,237,209,148,0.11,7.26,
Oct,Rep2,10.6,153.5,156,102,1123,26,0,,,,,,,,,
Oct,Rep3,9.1,131.1,189,104,1088,21,0,,,,,,,,,
Nov,Rep1,10.5,144.4,175,87,1037,21,20,14.4,52.4,5.35,163.9,130.8,106.6,0.08,6.75,
Nov,Rep2,10.8,161.8,212,95,1237,23,140,,,,,,,,,
Nov,Rep3,10.8,141.6,203,96,965,22,110,,,,,,,,,
Dec,Rep1,19.8,132.0,231,0,852,16,80,9.1,129.2,14.88,138.8,96.8,90.35,0.07,7.01,
Dec,Rep2,21.0,134.1,239,2,817,17,85,,,,,,,,,
Dec,Rep3,20.7,135.7,235,5,851,16,80,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
