Month,Rep,FOP (µg/L),TP (µg/L),NOx (µg/L),NHx (µg/L),TN (µg/L),TSS (mg/L),Fecal Coliform,T (°C),Oxygen Saturation (%),Oxygen Concentration (mg/L),Specific Conductivity (uS/cm),Electrical Conductivity (uS/cm),Dissolved Solid TDS (mg/L),Salinity (%),pH
Jan,Rep1,45.1,120.0,335,105,926,1,10,10.5,87.6,9.7,341.4,246.7,221.65,0.16,6.38
Jan,Rep2,48.2,123.4,375,108,993,0,5,,,,,,,,
Jan,Rep3,48.5,122.0,378,106,919,1,0,,,,,,,,
Feb,Rep1,19.1,105.4,420,78,606,15,195,10.6,132.2,14.73,163,117,106,0.08,7.29
Feb,Rep2,20.1,100.7,414,55,599,22,185,,,,,,,,
Feb,Rep3,20.4,97.5,394,54,633,14,200,,,,,,,,
March,Rep1,,,,,,,,,,,,,,,
March,Rep2,,,,,,,,,,,,,,,
March,Rep3,,,,,,,,,,,,,,,
April,Rep1,37.3,147.5,313,213,1582,6,15,15.9,44.6,4.31,278,236,181,0.13,7.88
April,Rep2,41.3,154.0,325,194,2028,7,45,,,,,,,,
April,Rep3,41.0,173.8,315,189,1687,3,15,,,,,,,,
May,Rep1,77.0,296.8,521,238,3284,14,0,22.9,31.8,2.73,305,293,198,0.14,7.83
May,Rep2,80.0,364.8,528,237,3259,14,80,,,,,,,,
May,Rep3,81.2,381.0,525,234,3443,15,100,,,,,,,,
June,Rep1,55.8,196.2,355,136,1578,6,135,24.3,29.2,2.44,311,306,202,0.16,6.9
June,Rep2,57.4,197.4,364,123,1540,9,120,,,,,,,,
June,Rep3,60.8,206.7,396,62,1516,15,155,,,,,,,,
July,Rep1,37.8,158.8,207,81,814,11,150,27.1,62.6,4.98,152,158.1,98.8,0.07,7.64
July,Rep2,38.7,174.3,198,84,779,10,145,,,,,,,,
July,Rep3,40.6,179.9,204,86,765,14,165,,,,,,,,
Aug,Rep1,19.8,112.5,272,51,1014,6,10,25.8,107.2,8.72,211.2,214.6,137.15,0.1,7.14
Aug,Rep2,22.9,117.1,303,58,1068,9,0,,,,,,,,
Aug,Rep3,22.0,120.1,311,57,1067,9,0,,,,,,,,
Sept,Rep1,17.6,124.0,213,29,1031,10,45,24.6,83.8,6.98,225.6,223.8,146.9,0.11,7.18
Sept,Rep2,18.8,120.1,241,27,824,7,35,,,,,,,,
Sept,Rep3,18.8,121.7,251,28,788,8,0,,,,,,,,
Oct,Rep1,13.6,129.0,251,95,1477,20,0,20.4,148.7,13.4,233,213,151,0.11,7.42
Oct,Rep2,14.2,125.8,255,96,1073,19,0,,,,,,,,
Oct,Rep3,14.8,130.5,241,88,1016,21,0,,,,,,,,
Nov,Rep1,25.6,102.7,307,35,832,5,0,14.2,64.2,6.58,279.8,222,182,0.13,7.44
Nov,Rep2,27.4,101.1,329,34,809,0,5,,,,,,,,
Nov,Rep3,28.7,102.7,338,35,719,9,10,,,,,,,,
Dec,Rep1,21.6,90.1,301,27,921,4,20,9.4,146.9,16.83,216.1,151.6,140.4,0.1,7.18
Dec,Rep2,21.6,88.5,307,16,1001,10,50,,,,,,,,
Dec,Rep3,21.3,86.4,304,20,837,7,35,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
